index,count
0,0
0.693147181,0.693147181
1.098612289,1.098612289
1.386294361,1.386294361
1.609437912,1.609437912
1.791759469,1.791759469
1.945910149,1.945910149
2.079441542,2.079441542
2.197224577,2.197224577
2.302585093,2.302585093
2.397895273,2.397895273
2.48490665,2.48490665
2.564949357,2.564949357
2.63905733,2.63905733
2.708050201,2.708050201
2.772588722,2.772588722
2.833213344,2.833213344
2.890371758,2.890371758
2.944438979,2.944438979
2.995732274,2.995732274
3.044522438,3.044522438
3.091042453,3.091042453
3.135494216,3.135494216
3.17805383,3.17805383
3.218875825,3.218875825
3.258096538,3.258096538
3.295836866,3.295836866
3.33220451,3.33220451
3.36729583,3.36729583
3.401197382,3.401197382
3.433987204,3.433987204
3.465735903,3.465735903
3.496507561,3.496507561
3.526360525,3.526360525
3.555348061,3.555348061
3.583518938,3.583518938
3.610917913,3.610917913
3.63758616,3.63758616
3.663561646,3.663561646
3.688879454,3.688879454
3.713572067,3.713572067
3.737669618,3.737669618
3.761200116,3.761200116
3.784189634,3.784189634
3.80666249,3.80666249
3.828641396,3.828641396
3.850147602,3.850147602
3.871201011,3.871201011
3.891820298,3.891820298
3.912023005,3.912023005
3.931825633,3.931825633
3.951243719,3.951243719
3.970291914,3.970291914
3.988984047,3.988984047
4.007333185,4.007333185
4.025351691,4.025351691
4.043051268,4.043051268
4.060443011,4.060443011
4.077537444,4.077537444
4.094344562,4.094344562
4.110873864,4.110873864
4.127134385,4.127134385
4.143134726,4.143134726
4.158883083,4.158883083
4.17438727,4.17438727
4.189654742,4.189654742
4.204692619,4.204692619
4.219507705,4.219507705
4.234106505,4.234106505
4.248495242,4.248495242
4.262679877,4.262679877
4.276666119,4.276666119
4.290459441,4.290459441
4.304065093,4.304065093
4.317488114,4.317488114
4.33073334,4.33073334
4.343805422,4.343805422
4.356708827,4.356708827
4.369447852,4.369447852
4.382026635,4.382026635
4.394449155,4.394449155
4.406719247,4.406719247
4.418840608,4.418840608
4.430816799,4.430816799
4.442651256,4.454347296
4.454347296,4.465908119
4.465908119,4.477336814
4.477336814,4.48863637
4.48863637,4.49980967
4.49980967,4.510859507
4.510859507,4.521788577
4.521788577,4.532599493
4.532599493,4.543294782
4.543294782,4.553876892
4.553876892,4.564348191
4.564348191,4.574710979
4.574710979,4.584967479
4.584967479,4.59511985
4.59511985,4.605170186
4.605170186,4.615120517
4.615120517,4.624972813
4.624972813,4.634728988
4.634728988,4.644390899
4.644390899,4.65396035
4.65396035,4.663439094
4.663439094,4.672828834
4.672828834,4.682131227
4.682131227,4.691347882
4.691347882,4.700480366
4.700480366,4.709530201
4.709530201,4.718498871
4.718498871,4.727387819
4.727387819,4.736198448
4.736198448,4.744932128
4.744932128,4.753590191
4.753590191,4.762173935
4.762173935,4.770684624
4.770684624,4.779123493
4.779123493,4.787491743
4.787491743,4.795790546
4.795790546,4.804021045
4.804021045,4.812184355
4.812184355,4.820281566
4.820281566,4.828313737
4.828313737,4.836281907
4.836281907,4.844187086
4.844187086,4.852030264
4.852030264,4.859812404
4.859812404,4.86753445
4.86753445,4.875197323
4.875197323,4.882801923
4.882801923,4.890349128
4.890349128,4.8978398
4.8978398,4.905274778
4.905274778,4.912654886
4.912654886,4.919980926
4.919980926,4.927253685
4.927253685,4.934473933
4.934473933,4.941642423
4.941642423,4.94875989
4.94875989,4.955827058
4.955827058,4.96284463
4.96284463,4.9698133
4.9698133,4.976733742
4.976733742,4.983606622
4.983606622,4.990432587
4.990432587,4.997212274
4.997212274,5.003946306
5.003946306,5.010635294
5.010635294,5.017279837
5.017279837,5.023880521
5.023880521,5.030437921
5.030437921,5.036952602
5.036952602,5.043425117
5.043425117,5.049856007
5.049856007,5.056245805
5.056245805,5.062595033
5.062595033,5.068904202
5.068904202,5.075173815
5.075173815,5.081404365
5.081404365,5.087596335
5.087596335,5.093750201
5.093750201,5.099866428
5.099866428,5.105945474
5.105945474,5.111987788
5.111987788,5.117993812
5.117993812,5.123963979
5.123963979,5.129898715
5.129898715,5.135798437
5.135798437,5.141663557
5.141663557,5.147494477
5.147494477,5.153291595
5.153291595,5.159055299
5.159055299,5.164785974
5.164785974,5.170483995
5.170483995,5.176149733
5.176149733,5.18178355
5.18178355,5.187385806
5.187385806,5.192956851
5.192956851,5.198497031
5.198497031,5.204006687
5.204006687,5.209486153
5.209486153,5.214935758
5.214935758,5.220355825
5.220355825,5.225746674
5.225746674,5.231108617
5.231108617,5.236441963
5.236441963,5.241747015
5.241747015,5.247024072
5.247024072,5.252273428
5.252273428,5.257495372
5.257495372,5.262690189
5.262690189,5.267858159
5.267858159,5.272999559
5.272999559,5.278114659
5.278114659,5.283203729
5.283203729,5.288267031
5.288267031,5.293304825
5.293304825,5.298317367
5.298317367,5.303304908
5.303304908,5.308267697
5.308267697,5.313205979
5.313205979,5.318119994
5.318119994,5.323009979
5.323009979,5.327876169
5.327876169,5.332718793
5.332718793,5.33753808
5.33753808,5.342334252
5.342334252,5.347107531
5.347107531,5.351858133
5.351858133,5.356586275
5.356586275,5.361292166
5.361292166,5.365976015
5.365976015,5.370638028
5.370638028,5.375278408
5.375278408,5.379897354
5.379897354,5.384495063
5.384495063,5.38907173
5.38907173,5.393627546
5.393627546,5.398162702
5.398162702,5.402677382
5.402677382,5.407171771
5.407171771,5.411646052
5.411646052,5.416100402
5.416100402,5.420534999
5.420534999,5.424950017
5.424950017,5.429345629
5.429345629,5.433722004
5.433722004,5.438079309
5.438079309,5.442417711
5.442417711,5.446737372
5.446737372,5.451038454
5.451038454,5.455321115
5.455321115,5.459585514
5.459585514,5.463831805
5.463831805,5.468060141
5.468060141,5.472270674
5.472270674,5.476463552
5.476463552,5.480638923
5.480638923,5.484796933
5.484796933,5.488937726
5.488937726,5.493061443
5.493061443,5.497168225
5.497168225,5.501258211
5.501258211,5.505331536
5.505331536,5.509388337
5.509388337,5.517452896
5.513428746,5.525452939
5.517452896,5.533389489
5.521460918,5.537334267
5.525452939,5.541263545
5.529429088,5.545177444
5.533389489,5.552959585
5.537334267,5.556828062
5.541263545,5.560681631
5.545177444,5.564520407
5.549076085,5.568344504
5.552959585,5.572154032
5.556828062,5.575949103
5.560681631,5.579729826
5.564520407,5.583496309
5.568344504,5.587248658
5.572154032,5.590986981
5.575949103,5.59471138
5.579729826,5.598421959
5.583496309,5.602118821
5.587248658,5.605802066
5.590986981,5.609471795
5.59471138,5.613128106
5.598421959,5.616771098
5.602118821,5.620400866
5.605802066,5.624017506
5.609471795,5.627621114
5.613128106,5.631211782
5.616771098,5.634789603
5.620400866,5.638354669
5.624017506,5.641907071
5.627621114,5.645446898
5.631211782,5.648974238
5.634789603,5.65248918
5.638354669,5.655991811
5.641907071,5.659482216
5.645446898,5.66296048
5.648974238,5.669880923
5.65248918,5.673323267
5.655991811,5.676753802
5.659482216,5.683579767
5.66296048,5.686975356
5.666426688,5.690359454
5.669880923,5.693732139
5.673323267,5.697093487
5.676753802,5.700443573
5.680172609,5.703782475
5.683579767,5.707110265
5.686975356,5.710427017
5.690359454,5.717027701
5.693732139,5.723585102
5.697093487,5.726847748
5.700443573,5.730099783
5.703782475,5.733341277
5.707110265,5.736572297
5.710427017,5.739792912
5.713732806,5.743003188
5.717027701,5.746203191
5.720311777,5.749392986
5.723585102,5.755742214
5.726847748,5.758901774
5.730099783,5.762051383
5.733341277,5.765191103
5.736572297,5.768320996
